Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"1786-1","Town","Police",1995,"Jailbreak Joe",4,186,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,315.0000,26.2000,"",""
"1787-1","Space","Unitron",1995,"Crater Cruiser",2,183,,18,,,,42884017873,,,,,"",0,0,0,,0,0,,,,,,,,,200.0000,51.8200,"",""
"1788-1","Pirates","",1995,"Treasure Chest",4,159,,22,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,800.0000,140.4000,"",""
"1789-1","Space","Unitron",1995,"Star Hawk II",2,292,,27,,,,42884017897,,,,,"",0,0,0,,0,0,,,,,,,,,150.0000,135.1300,"",""
"1793-1","Space","Unitron",1995,"Space Station Zenon",3,346,,,,,,42884017934,,,,,"",0,0,0,,0,0,,,,,,,,,400.0000,170.0000,"",""
"1805-1","Duplo","",1995,"Small Bucket",,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1807-1","Town","Seasonal",1995,"Santa Claus and Sleigh",1,17,,2,,,5702010918072,,,,,,"",0,0,0,,0,0,,,,,,,,,12.0100,8.5000,"",""
"1811-1","Duplo","",1995,"Safari",1,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.9500,,"",""
"1814-1","Duplo","Toolo",1995,"Starter Set",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1819-1","Basic","",1995,"Large Bucket",,950,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,25.0000,"",""
"1820-1","Primo","",1995,"Primo Sample Set",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1822-1","Aquazone","Aquanauts",1995,"Sea Claw 7",2,192,,20,,,5702010918225,,,,,,"",0,0,0,,0,0,,,,,,,,,325.0000,41.8200,"",""
"1828-1","Basic","",1995,"Animals",,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.4300,2.1800,"",""
"1831-1","Town","Special",1995,"Maersk Line Container Lorry",1,211,,,,,5702010918317,,,,,,"",0,0,0,,0,0,,,,,,,,,420.0000,294.6800,"",""
"1836-1","Freestyle","",1995,"Animal Friends",,9,,,,,5702010918362,,7.1,9.4,4.6,0.039,"",0,0,0,,0,0,,,,,,,,,3.5600,1.2500,"",""
"1837-1","Freestyle","",1995,"Freestyle Set",,11,,,,,5702010918379,,7.1,9.4,4.6,0.039,"",0,0,0,,0,0,,,,,,,,,4.8300,1.0000,"",""
"1838-1","Freestyle","",1995,"Animal Friends",,16,,,,,5702010918386,,7.1,9.4,4.6,0.038,"",0,0,0,,0,0,,,,,,,,,4.2700,1.4700,"",""
"1839-1","Freestyle","",1995,"Freestyle Set",,19,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.5000,,"",""
"1840-1","Freestyle","",1995,"Trial Size Bag",,23,,,,,,042884018405,,,,,"",0,0,0,,0,0,,,,,,,,,16.5300,2.3300,"",""
"1844-1","Duplo","",1995,"Large Green Bucket",3,90,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1850-1","Freestyle","",1995,"Trial Size Bag",,27,,,,,,042884018504,,,,,"",0,0,0,,0,0,,,,,,,,,16.5300,,"",""
"1852-1","Duplo","",1995,"Alligator Bucket",,43,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1860-1","Freestyle","",1995,"Trial Size Bag",1,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.0000,,"",""
"1863-1","Freestyle","",1995,"Freestyle Trial Set",,11,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.5400,,"",""
"1870-1","Freestyle","",1995,"Trial Size Bag",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.5300,,"",""
"1954-1","Space","Spyrius",1995,"Surveillance Scooter",1,23,,,,,5702010919543,,,,,,"",0,0,0,,0,0,,,,,,,,,21.5300,7.8700,"",""
"2080-1","Duplo","Primo",1995,"Small Stack 'n' Learn Set",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2082-1","Duplo","Primo",1995,"Medium Stack 'n' Learn Set",1,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2084-1","Duplo","Primo",1995,"Large Stack 'n' Learn Set",1,14,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,50.0000,,"",""
"2086-1","Duplo","Primo",1995,"XLarge Stack 'n' Learn Set",2,18,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,17.3900,"",""
"2090-1","Primo","",1995,"Baby Storage Bear",1,18,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,5.0000,"",""
"2320-1","Basic","",1995,"Small Basic Box",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2324-1","Duplo","",1995,"Large Giraffe Bucket",2,48,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2326-1","Duplo","",1995,"Green elephant bucket XL",3,63,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2338-1","Duplo","",1995,"Kitty Cat's Building Set",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2342-1","Duplo","",1995,"Small Animals Bucket",1,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2362-1","Duplo","",1995,"Large Circus Bucket",2,57,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2364-1","Duplo","",1995,"Circus Bucket Green",2,40,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2368-1","Duplo","",1995,"XLarge Basic Bucket",1,71,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2659-1","Duplo","",1995,"Baby Animals",,8,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.7500,10.5200,"",""
"2663-1","Duplo","",1995,"Water Animals",1,20,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,18.9900,"",""
"2665-1","Duplo","",1995,"Wild Cats",2,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,66.3900,35.1100,"",""
"2667-1","Duplo","",1995,"Animals Park",2,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,49.2600,"",""
"2670-1","Duplo","",1995,"Water Park",5,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,54.0000,"",""
"2690-1","Duplo","",1995,"Fire Chief",1,6,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.2500,11.8700,"",""
"2691-1","Duplo","",1995,"Fire Engine",1,12,,18.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,39.5800,17.1400,"",""
"2692-1","Duplo","",1995,"Fire Heliport",2,18,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,62.1900,30.1800,"",""
"2693-1","Duplo","",1995,"Fire Station",3,47,,49.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2783-1","Duplo","",1995,"Ironing Room",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.7300,16.2100,"",""
"2785-1","Duplo","",1995,"Living Room",1,9,,8.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,45.4800,,"",""
"2796-1","Duplo","",1995,"Pink Carry Case with Handle",3,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,54.1800,"",""
"2915-1","Duplo","Toolo",1995,"Mini Digger",1,16,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2925-1","Duplo","Toolo",1995,"Helicopter",1,20,,25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,81.8100,38.0300,"",""
"2945-1","Duplo","Toolo",1995,"Space Centre",2,47,,50,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2960-1","Duplo","Toolo",1995,"Tool Box",2,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,84.6200,"",""
"4130-1","Freestyle","",1995,"Daft 'n' Dotty",,37,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.7600,2.7900,"",""
"4131-1","Freestyle","",1995,"Freestyle Building Set, 3+",,71,,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,3.9900,"",""
"4132-1","Freestyle","",1995,"3+ Tote Pack",,111,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,28.2300,,"",""
"4133-1","Freestyle","",1995,"Freestyle Bucket, 3+",,135,,16.5,,,5702010941339,,,,,,"",0,0,0,,0,0,,,,,,,,,51.3600,23.1700,"",""
"4134-1","Freestyle","",1995,"Freestyle Bucket, 3+",,252,,20,,,5702010941346,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4142-1","Freestyle","",1995,"Freestyle Building Set, 4+",,98,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.9500,,"",""
"4143-1","Freestyle","",1995,"Freestyle Building Set, 4+",,196,,,,,5702010941438,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4144-1","Freestyle","",1995,"Freestyle Brick Vac Bus, 4+",,141,,22,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,38.3300,10.7400,"",""
"4145-1","Freestyle","",1995,"Freestyle Playcase (M), 4+",,249,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,31.6700,29.0000,"",""
"4146-1","Freestyle","",1995,"Freestyle Bucket, 4+",,410,,33,,,5702010941469,,,,,,"",0,0,0,,0,0,,,,,,,,,43.0500,,"",""
"4150-1","Freestyle","",1995,"Building Set 5+",1,88,,3.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.1600,4.4000,"",""
"4151-1","Freestyle","",1995,"Girl's Freestyle Set, 5+",2,272,,13,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,70.0000,16.2700,"",""
"4152-1","Freestyle","",1995,"Freestyle Bucket, 5+",,400,,20,,,5702010941520,,,,,,"",0,0,0,,0,0,,,,,,,,,100.0000,10.6300,"",""
"4153-1","Freestyle","",1995,"Freestyle Playcase (L), 5+",2,687,,38,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,43.0000,"",""
"4161-1","Freestyle","",1995,"Girl's Freestyle Suitcase, 6+",2,283,,20,,,5702010941612,,,,,,"",0,0,0,,0,0,,,,,,,,,95.5500,14.8800,"",""
"4162-1","Freestyle","",1995,"Freestyle Multibox, 6+",,592,,25,,,,042884041625,,,,,"",0,0,0,,0,0,,,,,,,,,48.7500,29.7300,"",""
"4163-1","Freestyle","",1995,"Electric Freestyle Set, 6+",,349,,45,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,35.6400,33.8800,"",""
"4552-1","Trains","9V",1995,"Cargo Crane",2,282,,38.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,215.9800,96.7400,"",""
"4555-1","Trains","9V",1995,"Cargo Station",3,389,,66,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,275.2100,239.4900,"",""
"5088-1","Service Packs","Duplo",1995,"Duplo Long Beams 2 x 8 Red and Yellow",,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5125-1","Service Packs","Town",1995,"Space Port Accessories (Launch Command Accessories)",,31,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,25.0700,,"",""
"5126-1","Service Packs","",1995,"Crane and Digger Accessories",,18,,3.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.6100,11.6100,"",""
"5127-1","Service Packs","",1995,"Antennas and Control Sticks",,37,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.3300,,"",""
"5132-1","Service Packs","",1995,"Wheels, Bearings and Suspension",,32,,3.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.7300,,"",""
"5134-1","Service Packs","Pirates",1995,"Pirate Cannons with Wheels",,28,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,35.0000,8.0600,"",""
"5135-1","Service Packs","Castle",1995,"Castle Accessories",,30,,3.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,63.8700,,"",""
"5136-1","Service Packs","Belville",1995,"Belville Accessories",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.9900,,"",""
"5160-1","Service Packs","Aquazone",1995,"Aquazone Accessories",,18,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.3800,14.7400,"",""
"5268-1","Service Packs","",1995,"Small Low Profile Tyres",,8,,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.4200,,"",""
"5269-1","Service Packs","Technic",1995,"Lift-Arms and Triangles",,12,,3.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.9900,,"",""
"5287-1","Service Packs","Technic",1995,"Plates and Gear Racks",,18,,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.2500,,"",""
"5288-1","Service Packs","",1995,"Gear Blocks, Housings and Axles",,12,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.1700,3.4200,"",""
"5541-1","Model Team","",1995,"Blue Fury",,421,,39.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,242.2500,111.2100,"",""
"5810-1","Belville","",1995,"Vanity Fun",1,23,,5.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.9600,14.9900,"",""
"5830-1","Belville","",1995,"Fun-Day Sundaes",2,29,,11,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.7800,5.7700,"",""
"5840-1","Belville","",1995,"Garden Playmates",1,87,,19.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,28.0500,18.3000,"",""
"6008-1","Castle","Royal Knights",1995,"Royal King",1,10,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,86.9200,16.3500,"",""
"6036-1","Castle","Royal Knights",1995,"Skeleton Surprise",2,74,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,121.8000,22.7700,"",""
"6044-1","Castle","Royal Knights",1995,"King's Carriage",4,124,,16.5,,,,042884060442,,,,,"",0,0,0,,0,0,,,,,,,,,216.2100,51.9800,"",""
"6078-1","Castle","Royal Knights",1995,"Royal Drawbridge",5,258,,30,,,5702010960781,042884060787,,,,,"",0,0,0,,0,0,,,,,,,,,342.6300,113.7100,"",""
"6090-1","Castle","Royal Knights",1995,"Royal Knight's Castle",11,764,,95,,,5702010960903,042884060909,,,,,"",0,0,0,,0,0,,,,,,,,,1684.5000,316.5900,"",""
"6115-1","Aquazone","Aquasharks",1995,"Shark Scout",1,28,,3.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.5000,4.8700,"",""
"6125-1","Aquazone","Aquanauts",1995,"Sea Sprint 9",1,32,3.25,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,51.1200,5.9000,"",""
"6155-1","Aquazone","Aquasharks",1995,"Deep Sea Predator",1,103,,22,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,193.7200,28.9700,"",""
"6175-1","Aquazone","Aquanauts",1995,"Crystal Explorer Sub",2,167,,33,,,5702010961757,,,,,,"",0,0,0,,0,0,,,,,,,,,162.9600,39.8100,"",""
"6195-1","Aquazone","Aquanauts",1995,"Neptune Discovery Lab",4,508,,89,,,5702010961955,,,,,,"",0,0,0,,0,0,,,,,,,,,601.2500,132.4500,"",""
"6254-1","Pirates","",1995,"Rocky Reef",3,103,,15,,,5702010962549,,,,,,"",0,0,0,,0,0,,,,,,,,,217.6300,50.9000,"",""
"6263-1","Pirates","Imperial Guards",1995,"Imperial Outpost",4,216,,27.5,,,5702010962631,,,,,,"",0,0,0,,0,0,,,,,,,,,417.2300,137.8100,"",""
"6279-1","Pirates","",1995,"Skull Island",6,378,,53,,,5702010962792,,,,,,"",0,0,0,,0,0,,,,,,,,,749.0000,138.3700,"",""
"6336-1","Town","Launch Command",1995,"Launch Response Unit",2,185,,16.5,,,5702010963362,,,,,,"",0,0,0,,0,0,,,,,,,,,135.0000,18.4400,"",""
"6338-1","Town","Coastguard",1995,"Hurricane Harbour",3,364,,49.5,,,5702010963386,,,,,,"",0,0,0,,0,0,,,,,,,,,286.0600,116.8700,"",""
"6339-1","Town","Launch Command",1995,"Shuttle Launch Pad",4,564,,66,,,5702010963393,,,,,,"",0,0,0,,0,0,,,,,,,,,484.4100,147.0100,"",""
"6414-1","Town","Paradisa",1995,"Dolphin Point",4,207,,33,,,5702010964147,,,,,,"",0,0,0,,0,0,,,,,,,,,570.9700,120.2400,"",""
"6484-1","Town","Rescue",1995,"F1 Hauler",3,269,,49.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,220.3400,99.9400,"",""
"6516-1","Town","Launch Command",1995,"Moon Walker",1,34,,3,,,5702010965168,,,,,,"",0,0,0,,0,0,,,,,,,,,27.7700,4.7400,"",""
"6525-1","Town","Fire",1995,"Blaze Commander",1,50,,4.5,,,5702010965250,,,,,,"",0,0,0,,0,0,,,,,,,,,25.0000,5.8800,"",""
"6535-1","Town","Construction",1995,"Dumper",1,42,,4.5,,,5702010965359,,,,,,"",0,0,0,,0,0,,,,,,,,,36.5200,7.3900,"",""
"6544-1","Town","Launch Command",1995,"Shuttle Transcon 2",3,342,,38.5,,,5702010965441,042884065447,,,,,"",0,0,0,,0,0,,,,,,,,,250.6600,86.7500,"",""
"6562-1","Town","Shops and Services",1995,"Gas Stop Shop",3,221,,24.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,106.6800,43.9500,"",""
"6596-1","Town","Boats",1995,"Wave Master",1,134,,12,,,5702010965960,,,,,,"",0,0,0,,0,0,,,,,,,,,53.0000,16.2300,"",""
"6614-1","Town","Launch Command",1995,"Launch Evac 1",1,122,,9.25,,,5702010966141,,,,,,"",0,0,0,,0,0,,,,,,,,,95.0000,13.5300,"",""
"6639-1","Town","Racing",1995,"Raven Racer",1,66,,7.25,,,5702010966394,,,,,,"",0,0,0,,0,0,,,,,,,,,51.0200,11.3200,"",""
"6649-1","Town","Maintenance",1995,"Street Sweeper",1,63,,6.75,,,5702010966493,,,,,,"",0,0,0,,0,0,,,,,,,,,71.5600,9.9900,"",""
"8210-1","Technic","",1995,"Nitro GTX bike",,86,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,53.5300,7.4900,"",""
"8225-1","Technic","",1995,"Road Rally V",1,96,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,44.9900,11.4400,"",""
"8235-1","Technic","",1995,"Front End Loader",1,165,,30,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,100.1100,18.9000,"",""
"8280-1","Technic","",1995,"Fire Engine",2,424,,55,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,98.3400,46.3600,"",""
"8412-1","Technic","",1995,"Nighthawk",,286,,29.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,98.6300,30.1400,"",""
"8422-1","Technic","",1995,"Circuit Shock Racer",,315,,33,,,5702010984220,,,,,,"",0,0,0,,0,0,,,,,,,,,100.0000,25.1300,"",""
"8440-1","Technic","",1995,"Formula Flash",,414,,54,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,157.3700,57.4300,"",""
"8460-1","Technic","",1995,"Pneumatic Crane Truck",,850,,99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,184.3500,97.6500,"",""
"8485-1","Technic","",1995,"Control Centre II",,1079,,219,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,719.9000,216.1900,"",""
"9170-1","Dacta","",1995,"Community People Set",18,18,,28.6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9171-1","Dacta","",1995,"World People",24,24,,38.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,59.9500,,"",""
"9180-1","Dacta","Duplo",1995,"Medical Centre",7,69,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9605-1","Dacta","Technic",1995,"4.5V Technic Resource Set",,268,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9609-1","Dacta","Technic",1995,"Technology Resource Set",,1733,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,400.0000,,"",""
"9616-1","Dacta","Technic",1995,"Wheels and Axles Set",1,75,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,36.5600,18.3700,"",""
"9652-1","Dacta","Duplo",1995,"Fun Time Gears",,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,34.6800,"",""
"9653-1","Dacta","Duplo",1995,"Mechanical Toy Shop",2,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9660-1","Dacta","Duplo",1995,"Early Structures",2,107,,69,,,5703860008906,,,,,2.27,"",0,0,0,,0,0,,,,,,,,,93.6800,,"",""
"9701-1","Dacta","Technic",1995,"Control Lab Building Set",,557,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,489.3300,165.0900,"",""
"9751-1","Dacta","Technic",1995,"Control Lab Serial Interface & Adapter",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,156.9800,152.1200,"",""
"9891-1","Dacta","",1995,"Angle Sensor",,1,,25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.3900,,"",""
"9938-1","Dacta","",1995,"Conveyor Belt Links",,36,,6.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.3100,,"",""
"BONUS-1","Basic","",1995,"LEGO Festival Bonus Offer Pack",,414,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM02JAN1995-1","Books","Mania Magazine",1995,"Mania Magazine January - February 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM03MAR1995-1","Books","Mania Magazine",1995,"Mania Magazine March - April 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM04MAY1995-1","Books","Mania Magazine",1995,"Mania Magazine May - June 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM05JUL1995-1","Books","Mania Magazine",1995,"Mania Magazine July - August 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM06SEP1995-1","Books","Mania Magazine",1995,"Mania Magazine September - October 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM07NOV1995-1","Books","Mania Magazine",1995,"Mania Magazine November - December 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""







